Run!	Spring!
Sit still.	Sitt still.
Stay away.	Håll dig borta.
Stay away.	Håll er borta.
Stay here.	Stanna här.
Stop that.	Sluta med det där.
Stop that.	Sluta upp med det där.
Take mine.	Ta min.
Take mine.	Ta mitt.
Take mine.	Tag min.
Take mine.	Tag mitt.
Thank you.	Tack.
That's OK.	Det är okej.
That's OK.	Det är lugnt.
Then what?	Sen då?
Then what?	Sedan då?
They swam.	De simmade.
Tom's fat.	Tom är tjock.
Tom's fat.	Tom är fet.
Tom's mad.	Tom är arg.
Tom's sad.	Tom är ledsen.
Tom's shy.	Tom är blyg.
Try again.	Försök igen.
Turn left.	Sväng vänster.
We failed.	Vi misslyckades.
We forgot.	Vi glömde.
We waited.	Vi väntade.
We'll win.	Vi kommer att vinna.
We've won!	Vi har vunnit!
What's up?	Hur är läget?
What's up?	Vad händer?
Who is he?	Vem är han?
Who knows?	Vem vet?
Who's she?	Vem är hon?
You idiot!	Din idiot!
Am I wrong?	Har jag fel?
Are you OK?	Mår du bra?
Be content.	Var belåten.
Be on time.	Kom i tid.
Be patient.	Var tålmodig.
Be patient.	Ha tålamod.
Be patient.	Var tålmodiga.
Be serious.	Var allvarlig.
Birds sing.	Fåglar sjunger.
Bring food.	Hämta mat.
Bring help.	Hämta hjälp.
Bring help.	Gå och hämta hjälp.
Bring wine.	Gå och hämta vin.
Bring wine.	Hämta vin.
Can I help?	Får jag hjälpa?
Carry this.	Bär den här.
Check that.	Kolla det där.
Check this.	Kolla det här.
Come alone.	Kom ensam.
Definitely!	Självfallet!
Definitely!	Absolut!
Don't jump!	Hoppa inte!
Don't look.	Titta inte.
Don't move!	Rör er inte!
Don't move!	Rör dig inte!
Don't push.	Knuffas inte.
Don't sing.	Sjung inte.
Don't stop.	Stanna inte.
Don't talk!	Prata inte!
Don't talk.	Tala inte.
Don't wait.	Vänta inte.
Don't yell.	Skrik inte.
Duty calls.	Plikten kallar.
Eat slowly.	Ät långsamt.
Eat slowly.	Ät sakta.
Examine it.	Undersök det.
Examine it.	Gå igenom den.
Examine it.	Granska den.
Follow Tom.	Följ Tom.
Follow Tom.	Följ efter Tom.
Forget Tom.	Glöm Tom.
Forget him.	Glöm honom.
Forgive us.	Förlåt oss.
Get a life.	Skaffa dig ett liv.
Get off me.	Låt mig vara.
Get off me.	Rör mig inte.
Get off me.	Låt bli mig.
Go wash up.	Gå och tvätta dig!
God exists.	Gud finns.
God exists.	Gud existerar.
He is kind.	Han är snäll.
He made it.	Han klarade det.
He made it.	Han hann.
He's lying.	Han ljuger.
He's smart.	Han är smart.
He's smart.	Han är intelligent.
How clever!	Vad smart!
How tragic!	Så tragiskt!
Hurry back.	Skynda dig tillbaka.
I am bored.	Jag har tråkigt.
I am right.	Jag har rätt.
I can stay.	Jag kan stanna.
I can stay.	Jag får stanna.
I can swim.	Jag kan simma.
I can wait.	Jag kan vänta.
I doubt it.	Det tvivlar jag på.
I doubt it.	Jag tvivlar på det.
I eat here.	Jag äter här.
I feel fit.	Jag känner mig vältränad.
I feel sad.	Jag känner mig ledsen.
I hate you.	Jag hatar dig.
I like him.	Jag gillar honom.
I like tea.	Jag gillar te.
I like tea.	Jag tycker om te.
I love her.	Jag älskar henne.
I love him.	Jag älskar honom.
I love you.	Jag älskar dig.
I love you.	Jag älskar dej.
I miss you.	Jag saknar dig.
I need ice.	Jag behöver is.
I need you.	Jag behöver dig.
I need you.	Jag behöver er.
I panicked.	Jag fick panik.
I promised.	Jag lovade.
I remember.	Jag minns.
I remember.	Jag kommer ihåg.
I survived.	Jag överlevde.
I think so.	Jag tror det.
I'll check.	Jag ska kolla.
I'll do it.	Jag gör det.
I'll do it.	Jag kommer att göra det.
I'm coming.	Jag kommer.
I'm hungry.	Jag är hungrig.
I'm rested.	Jag är utvilad.
Is Tom mad?	Är Tom arg?
Is Tom mad?	Är Tom galen?
Is it blue?	Är den blå?
Is it blue?	Är det blått?
Is it free?	Är det gratis?
Is it love?	Är det kärlek?
Is it time?	Är det dags?
Is it time?	Är tiden inne?
Is that so?	Jaså!
It happens.	Det händer.
It is mine.	Det är mitt.
It's blank.	Det är tomt.
It's blank.	Det är blankt.
It's blank.	Det står stilla.
It's clear.	Det är uppfattat.
It's clear.	Det är tydligt.
It's clear.	Det är uppenbart.
It's empty.	Den är tom.
It's empty.	Det är tomt.
It's my CD.	Det är min cd-skiva.
It's my CD.	Det är min cd.
It's on me.	Jag bjuder.
It's safer.	Det är säkrare.
It's scary.	Det är läskigt.
It's scary.	Den är läskig.
It's shiny.	Den glänser.
It's stuck.	Den sitter fast.
It's stuck.	Det sitter fast.
It's there.	Där är den.
It's there.	Det är där.
It's there.	Den är där.
Just do it.	Gör det bara.
Keep notes.	Ta anteckningar.
Keep still.	Håll still.
Let him go!	Släpp honom!
Let it dry.	Låt den torka.
Let it dry.	Låt det torka.
Let me out!	Släpp ut mig!
Let me pay.	Låt mig betala.
Let me see.	Låt mig se.
Lighten up.	Ryck upp dig.
Look at me.	Titta på mig.
Love hurts.	Kärlek gör ont.
No problem!	Inga problem!
Now get in.	In med dig nu.
Now get in.	Kom in nu.
Run for it!	Skynda dig!
Run for it!	Spring för livet!
Say please.	Säg: ”kan jag få”.
She smiled.	Hon log.
Sing along.	Sjung med.
Stay there.	Stanna där.
Take a bus.	Ta en buss.
Take cover!	Ta skydd!
Talk to me!	Prata med mig!
That's sad.	Det är sorgligt.
That's sad.	Det är trist.
They stood.	De stod.
They voted.	De röstade.
Time flies.	Tiden flyger.
Time flies.	Tiden rusar.
Time is up.	Tiden är ute.
Tom drives.	Tom kör.
Tom got up.	Tom steg upp.
Tom hit me.	Tom slog mig.
Tom is out.	Tom är ute.
Tom nodded.	Tom nickade.
Tom phoned.	Tom ringde.
Tom winked.	Tom blinkade.
Tom'll pay.	Tom betalar nog.
Tom's dead.	Tom är död.
Tom's deaf.	Tom är döv.
Tom's died.	Tom har dött.
Tom's fast.	Tom är snabb.
Tom's free.	Tom är fri.
Tom's glad.	Tom är glad.
Tom's gone.	Tom är borta.
Tom's gone.	Tom har åkt.
Tom's gone.	Tom har gått.
Tom's here.	Tom är här.
Tom's home.	Tom är hemma.
Tom's hurt.	Tom är skadad.
Tom's left.	Tom har åkt.
Tom's mean.	Tom är elak.
Tom's safe.	Tom är säker.
Tom's sick.	Tom är sjuk.
Tom's weak.	Tom är svag.
Turn right.	Sväng höger.
Wait a bit.	Vänta ett tag.
Watch this.	Titta på det här.
Watch this.	Kolla på det här.
We are men.	Vi är män.
We're here.	Vi är här.
What's new?	Vad är nytt?
Who is she?	Vem är hon?
You did it!	Du lyckades!
You may go.	Du kan gå.
Are you mad?	Är du galen?
Are you mad?	Är du arg?
Are you mad?	Är ni arga?
Are you new?	Är du ny?
Are you sad?	Är du ledsen?
Be creative.	Var kreativ.
Be creative.	Var kreativa.
Be discreet.	Var diskret.
Be discreet.	Var diskreta.
Be friendly.	Var vänlig.
Be friendly.	Var vänliga.
Be merciful.	Var nådig.
Be prepared.	Var redo.
Be punctual.	Var punktlig.
Be punctual.	Var punktliga.
Be ruthless.	Var hänsynslös.
Be ruthless.	Var hänsynslösa.
Be sensible.	Var förnuftig.
Be specific.	Var specifik.
Be specific.	Var tydlig.
Be tolerant.	Var tolerant.
Be tolerant.	Var toleranta.
Be vigilant.	Var vaksam.
Be vigilant.	Var vaksamma.
Be watchful.	Var på din vakt.
Be watchful.	Var på er vakt.
Beer's good.	Öl är gott.
Check again.	Kolla en gång till.
Come aboard.	Kom ombord.
Come closer.	Kom närmare.
Come inside.	Kom in.
Comfort Tom.	Trösta Tom.
Contact Tom.	Kontakta Tom.
Contact Tom.	Ta kontakt med Tom.
Did you win?	Vann du?
Did you win?	Vann ni?
Do it again!	Gör det igen!
Do it again.	Gör det igen.
Do it later.	Gör det senare.
Do it right.	Gör det rätt.
Don't argue.	Inga men.
Don't cheat.	Fuska inte.
Don't do it!	Gör det inte!
Don't do it.	Gör det inte.
Don't fight.	Slåss inte.
Don't gloat.	Glo inte.
Don't leave.	Gå inte.
Don't shoot!	Skjut inte!
Don't smile.	Le inte.
Don't speak.	Tala inte.
Don't speak.	Prata inte.
Don't stand.	Stå inte.
Don't stare.	Stirra inte.
Get changed.	Byt om.
Get changed.	Byt kläder.
Get dressed.	Klä på dig.
Get dressed.	Klä på er.
Go get help.	Gå och hämta hjälp.
Go with Tom.	Gå med Tom.
Go with Tom.	Följ med Tom.
He can come.	Han får komma.
He can swim.	Han kan simma.
He is lying.	Han ljuger.
He likes me.	Han gillar mig.
He loves me.	Han älskar mig.
He was hurt.	Han blev skadad.
He was hurt.	Han blev sårad.
He's faking.	Han låtsas.
He's strong.	Han är stark.
Here she is!	Här är hon!
How are you?	Hur är det?
How are you?	Hur mår du?
I also went.	Jag gick också.
I am Korean.	Jag är korean.
I am coming.	Jag kommer.
I am hungry.	Jag är hungrig.
I am taller.	Jag är längre.
I can drive.	Jag kan köra.
I can't eat.	Jag kan inte äta.
I eat fruit.	Jag äter frukt.
I got a job.	Jag fick ett jobb.
I got a job.	Jag skaffade mig ett jobb.
I got stuck.	Jag fastnade.
I had a cat.	Jag hade en katt.
I hate work.	Jag hatar arbete.
I like both.	Jag gillar båda.
I like jazz.	Jag gillar jazz.
I like this.	Jag gillar det här.
I live here.	Jag bor här.
I love rock.	Jag älskar rock.
I overslept.	Jag försov mig.
I recovered.	Jag hämtade mig.
I saw to it.	Jag ordnade det.
I sell cars.	Jag säljer bilar.
I thank you.	Jag tackar dig.
I thank you.	Jag tackar er.
I trust you.	Jag litar på dig.
I trust you.	Jag litar på er.
I was angry.	Jag var arg.
I was fired.	Jag blev avskedad.
I was lucky.	Jag hade tur.
I was tired.	Jag var trött.
I work here.	Jag arbetar här.
I work here.	Jag jobbar här.
I'll change.	Jag ska byta om.
I'll get by.	Jag klarar mig.
I'll get it.	Jag hämtar den.
I'll get it.	Jag hämtar det.
I'm Finnish.	Jag är finsk.
I'm Italian.	Jag är italiensk.
I'm at home.	Jag är hemma.
I'm certain.	Jag är säker.
I'm curious.	Jag är nyfiken.
I'm furious.	Jag är ursinnig.
I'm furious.	Jag är rasande.
I'm healthy.	Jag är hälsosam.
I'm serious.	Jag är seriös.
I'm so full.	Jag är så mätt.
I'm starved.	Jag är utsvulten.
I'm thirsty.	Jag är törstig.
I'm touched.	Jag är rörd.
I'm winning.	Jag vinner.
Is Tom next?	Är Tom näst i tur?
Is it white?	Är den vit?
Is it white?	Är det vitt?
Is she nice?	Är hon trevlig?
Is that Tom?	Är det där Tom?
It happened.	Det hände.
It may hurt.	Det kommer kanske att göra ont.
It may hurt.	Det kan komma att göra ont.
It's Monday.	Det är måndag.
It's cloudy.	Det är molnigt.
It's futile.	Det är meningslöst.
It's locked.	Den är låst.
It's my job.	Det är mitt jobb.
It's normal.	Det är normalt.
It's normal.	Det är vanligt.
Just get in.	In med dig bara.
Let me help.	Låt mig hjälpa till.
Let me live.	Låt mig leva.
Life is fun.	Livet är roligt.
Lunch is on.	Lunchen är klar.
Lunch is on.	Lunchen är färdig.
Nobody came.	Ingen kom.
Please come.	Snälla kom.
Please stop!	Snälla sluta!
She bit him.	Hon bet honom.
She hit him.	Hon slog honom.
She is kind.	Hon är snäll.
Stand still!	Stå still!
Stand still!	Stå stilla!
Stay inside.	Stanna inomhus.
Stop moving.	Rör dig inte.
Stop trying.	Sluta försöka.
Talk slower.	Tala långsammare.
That's cool.	Det är okej.
That's fine.	Det där är okej.
That's good.	Det är bra.
That's life.	Sådant är livet.
That's mine.	Det är mitt.
That's okay.	Det är okej.
The TV's on.	Tv:n är på.
They called.	De ringde.
They kissed.	De kysste varandra.
This is bad.	Det här är dåligt.
Tom giggled.	Tom fnissade.
Tom got big.	Tom blev stor.
Tom got bit.	Tom blev biten.
Tom is back.	Tom är tillbaka.
Tom is dead.	Tom är död.
Tom is deaf.	Tom är döv.
Tom is poor.	Tom är fattig.
Tom is tall.	Tom är lång.
Tom made it.	Tom klarade sig.
Tom made it.	Tom lyckades.
Tom made it.	Tom gjorde den.
Tom made it.	Tom gjorde det.
Tom teaches.	Tom undervisar.
Tom was big.	Tom var stor.
Tom'll call.	Tom ringer nog.
Tom'll come.	Tom kommer nog.
Tom'll help.	Tom hjälper nog till.
Tom'll live.	Tom överlever.
Tom'll live.	Tom överlever nog.
Tom'll quit.	Tom tänker sluta.
Tom'll stay.	Tom stannar nog.
Tom'll wait.	Tom väntar nog.
Tom's alert.	Tom är alert.
Tom's alert.	Tom är på alerten.
Tom's alert.	Tom är uppmärksam.
Tom's alert.	Tom är snabb i vändningarna.
Tom's alive.	Tom är vid liv.
Tom's alone.	Tom är ensam.
Tom's alone.	Tom är allena.
Tom's alone.	Tom är för sig själv.
Tom's angry.	Tom är arg.
Tom's awake.	Tom är vaken.
Tom's bored.	Tom är uttråkad.
Tom's crazy.	Tom är tokig.
Tom's crazy.	Tom är galen.
Tom's drunk.	Tom är full.
Tom's dying.	Tom dör.
Tom's early.	Tom är tidig.
Tom's flaky.	Tom är stollig.
Tom's flaky.	Tom är hispig.
Tom's flaky.	Tom är knäpp.
Tom's funny.	Tom är rolig.
Tom's lucky.	Tom har tur.
Tom's lucky.	Tom är lyckligt lottad.
Tom's lying.	Tom ljuger.
Tom's pushy.	Tom är framfusig.
Tom's pushy.	Tom är framåt.
Tom's right.	Tom har rätt.
Tom's smart.	Tom är smart.
Tom's tired.	Tom är trött.
Tom's wrong.	Tom har fel.
Tom's young.	Tom är ung.
Turn it off.	Stäng av den.
Was I wrong?	Hade jag fel?
We ate eggs.	Vi åt ägg.
We broke up.	Vi gjorde slut.
We need you.	Vi behöver dig.
We promised.	Vi lovade.
We survived.	Vi överlevde.
We're dying.	Vi är döende.
We're going.	Vi ska åka.
We're going.	Vi ska gå.
We're going.	Vi åker.
We're going.	Vi går.
We're ready.	Vi är färdiga.
We're ready.	Vi är klara.
We're ready.	Vi är redo.
What is new?	Vad är nytt?
What's next?	Vad kommer härnäst?
What's next?	Vad ska ske nu?
What's next?	Vad händer nu?
What's this?	Vad är detta?
Where is he?	Var är han?
Who escaped?	Vem flydde?
Who's first?	Vem går först?
Who's first?	Vem är först i tur?
Who's first?	Vem står först i tur?
You're mine.	Du är min.
Am I in love?	Är jag förälskad?
Are you lost?	Är du vilse?
Are you safe?	Är du säker?
Are you safe?	Är du utom fara?
Are you safe?	Är du trygg?
Are you sane?	Är du tillräknelig?
Are you sane?	Är du vid dina sinnens fulla bruk?
Are you sane?	Är ni tillräkneliga?
Are you sane?	Är ni vid era sinnens fulla bruk?
Are you sure?	Är du säker?
Boil one egg.	Koka ett ägg.
Bring backup.	Gå och hämta förstärkning.
Can you come?	Kan du komma?
Can you swim?	Kan du simma?
Come forward.	Kom framåt.
Come forward.	Kom fram.
Come quickly!	Kom fort!
Come with us.	Kom med oss.
Did Tom call?	Ringde Tom?
Did Tom call?	Har Tom ringt?
Did Tom vote?	Röstade Tom?
Did you vote?	Röstade du?
Do I look OK?	Ser jag OK ut?
Do I look OK?	Ser jag bra ut?
Do it Monday.	Gör det på måndag.
Do it anyway.	Gör det ändå.
Do you smoke?	Röker ni?
Do you smoke?	Röker du?
Do you snore?	Snarkar du?
Don't ask me.	Fråga inte mig.
Don't be sad.	Var inte ledsen.
Don't kid me!	Skämta inte med mig!
Don't let go.	Släpp inte taget.
Don't scream.	Skrik inte.
Drive faster.	Kör fortare.
Drive safely.	Kör försiktigt.
Examine them.	Visitera dem.
Examine them.	Undersök dem.
Examine this.	Undersök den här.
Find the cat.	Hitta katten.
Fish, please.	Fisk, tack.
Go back, Tom.	Gå tillbaka, Tom.
Go there now.	Gå dit nu.
Good morning.	God morgon.
Good morning.	God morgon!
Grow up, Tom.	Väx upp, Tom.
Hang on, Tom.	Håll ut, Tom.
Have a drink.	Ta dig ett glas.
Have a drink.	Ta en drink.
Have another.	Ta en till.
He can do it.	Han kan göra det.
He has a car.	Han har en bil.
He has a dog.	Han har en hund.
He is a poet.	Han är en poet.
He is eating.	Han äter.
He loves her.	Han älskar henne.
He mocked me.	Han drev med mig.
He was alone.	Han var själv.
He was alone.	Han var ensam.
He was brave.	Han var modig.
He was great.	Han var mäktig.
He was great.	Han var jättebra.
He will come.	Han kommer att komma.
He will walk.	Han kommer att gå.
He's so cute.	Han är så söt.
Help me, Tom.	Hjälp mig, Tom.
Help us, Tom.	Hjälp oss, Tom.
How exciting!	Vad spännande!
How pathetic!	Vad patetiskt!
How romantic!	Så romantiskt!
How's school?	Hur går det med skolan?
How's school?	Hur går det på skolan?
How's school?	Hur går det i skolan?
I am at home.	Jag är hemma.
I am so sick.	Jag är så sjuk.
I apologized.	Jag bad om ursäkt.
I ate caviar.	Jag åt kaviar.
I can get it.	Jag kan hämta den.
I can try it.	Jag kan försöka göra det.
I don't care.	Jag bryr mig inte.
I don't mind.	Jag har inget emot det.
I have a cat.	Jag har en katt.
I have a job.	Jag har ett jobb.
I have a kid.	Jag har ett barn.
I have a pen.	Jag har en penna.
I have to go.	Jag måste gå.
I improvised.	Jag improviserade.
I know a way.	Jag känner till en väg.
I know a way.	Jag vet ett sätt.
I know a way.	Jag vet en väg.
I like fruit.	Jag gillar frukt.
I like fruit.	Jag tycker om frukt.
I love trips.	Jag älskar att resa.
I made it up.	Jag hittade på det.
I might stay.	Jag stannar kanske.
I need a hat.	Jag behöver en hatt.
I need a job.	Jag behöver ett jobb.
I need a pen.	Jag behöver en penna.
I need paint.	Jag behöver målarfärg.
I needed you.	Jag behövde dig.
I needed you.	Jag behövde er.
I understand.	Jag fattar.
I understand.	Jag förstår.
I understood.	Jag fattar.
I understood.	Jag förstår.
I walk a lot.	Jag promenerar mycket.
I walk a lot.	Jag går mycket.
I was hungry.	Jag var hungrig.
I wimped out.	Jag drog mig ur.
I won't lose!	Jag kommer inte att förlora.
I won't move.	Jag flyttar inte.
I won't move.	Jag flyttar mig inte.
I won't move.	Jag flyttar inte på mig.
I wonder why.	Jag undrar varför.
I'll be fine.	Jag klarar mig.
I'll be here.	Jag kommer att vara här.
I'll be here.	Jag är här.
I'll be here.	Jag stannar här.
I'll get one.	Jag fixar en.
I'll get one.	Jag hämtar en.
I'll pay you.	Jag ska betala dig.
I'll save it.	Jag ska spara det.
I'm a doctor.	Jag är doktor.
I'm artistic.	Jag är konstnärlig.
I'm artistic.	Jag är konstnärligt lagd.
I'm artistic.	Jag är konstnärlig av mig.
I'm busy now.	Jag är upptagen nu.
I'm drowning.	Jag drunknar.
I'm escaping.	Jag flyr.
I'm finished.	Jag är färdig.
I'm horrible.	Jag är hemsk.
I'm in Paris.	Jag är i Paris.
I'm off beer.	Jag har slutat med öl.
I'm so happy.	Jag är så lycklig.
I'm the best.	Jag är bäst.
I'm ticklish.	Jag är kittlig.
I'm to blame.	Det är mitt fel.
I'm very fat.	Jag är jättetjock.
I've got you.	Jag fick dig.
I've got you.	Jag har dig.
Is Monday OK?	Går måndag bra?
Is Monday OK?	Går det bra på måndag?
Is Monday OK?	Funkar måndag?
Is Monday OK?	Fungerar måndag?
Is Tom crazy?	Är Tom galen?
Is that true?	Är det sant?
Is this love?	Är detta kärlek?
It was black.	Den var svart.
It was black.	Det var svart.
It was night.	Det var natt.
It was noisy.	Det var högljutt.
It was noisy.	Den var högljudd.
It was quiet.	Det var tyst.
It was quiet.	Den var tyst.
It was round.	Den var rund.
It was round.	Det var runt.
It's awkward.	Det är pinsamt.
It's bedtime.	Det är läggdags.
It's genuine.	Den är äkta.
It's genuine.	Det är äkta.
It's genuine.	Den är autentisk.
It's genuine.	Det är autentiskt.
It's no joke.	Det är inget skämt.
It's strange.	Det är konstigt.
It's strange.	Den är konstig.
It's strange.	Det är märkligt.
It's strange.	Det är underligt.
It's too big.	Den är för stor.
It's too hot.	Det är för varmt.
It's working.	Den fungerar.
It's working.	Det fungerar.
It's working.	Den funkar.
It's working.	Det funkar.
Keep dancing.	Fortsätt dansa.
Keep running.	Fortsätt springa.
Keep smiling.	Fortsätt le.
Keep talking.	Fortsätt tala.
Keep working.	Fortsätt arbeta.
Ladies first.	Damerna först.
Let Tom live.	Låt Tom leva.
Let Tom stay.	Låt Tom stanna.
Let me do it.	Låt mig göra det.
Mary came in.	Mary kom in.
Men are pigs.	Män är svin.
My ears hurt.	Det gör ont i mina öron.
Need I go on?	Behöver jag fortsätta?
No one knows.	Ingen vet.
Nobody knows.	Ingen vet.
Please relax.	Snälla ta det lugnt.
Please relax.	Snälla lugna ner dig.
Point it out.	Peka ut den.
Point it out.	Peka ut det.
She can swim.	Hon kan simma.
She is happy.	Hon är lycklig.
She is quiet.	Hon är tystlåten.
She is quiet.	Hon är tyst.
She knows me.	Hon känner mig.
She liked it.	Hon gillade det.
She liked it.	Hon gillade den.
She liked it.	Hon tyckte om det.
She liked it.	Hon tyckte om den.
She went out.	Hon gick ut.
Speak slower.	Tala långsammare.
Stop the car.	Stanna bilen.
That is mine.	Det är mitt.
That is mine.	Den är min.
That's awful.	Vad hemskt.
That's my CD.	Det är min cd-skiva.
That's right!	Det stämmer!
That's smart.	Det är smart.
That's weird.	Vad konstigt.
They cheered.	De hurrade.
They crashed.	De störtade.
They crashed.	De kraschlandade.
They crashed.	De gjorde bankrutt.
They crashed.	De gick i kras.
They crashed.	De kraschade.
They want me.	De vill ha mig.
They'll fail.	De kommer att misslyckas.
They'll grow.	De kommer att växa.
They're blue.	De är blå.
They're blue.	De är deppiga.
They're done.	De är färdiga.
They're done.	De är klara.
Tom finished.	Tom blev klar.
Tom finished.	Tom blev färdig.
Tom got away.	Tom lyckades fly.
Tom got home.	Tom kom hem.
Tom got home.	Tom tog sig hem.
Tom got lost.	Tom gick vilse.
Tom has died.	Tom har dött.
Tom has guts.	Tom har ryggrad.
Tom has guts.	Tom har kurage.
Tom hated it.	Tom hatade det.
Tom hated it.	Tom hatade den.
Tom hates TV.	Tom hatar tv.
